Event	ID	Name			Wwise Object Path	Notes
	68608246	KatarinaAutoSFX			\Default Work Unit\KatarinaAutoSFX	
	307566243	KatarinaRSFX			\Default Work Unit\KatarinaRSFX	
	316800428	KatarinaVoracitySFX			\Default Work Unit\KatarinaVoracitySFX	
	1339083702	KatarinaDeath			\Default Work Unit\KatarinaDeath	
	1486502846	KatarinaESFX			\Default Work Unit\KatarinaESFX	
	1565165559	KatarinaImpactSFX			\Default Work Unit\KatarinaImpactSFX	
	2478388218	KatarinaQSFX			\Default Work Unit\KatarinaQSFX	
	3881038749	KatarinaMenu			\Default Work Unit\KatarinaMenu	
	4077583183	KatarinaRVO			\Default Work Unit\KatarinaRVO	
	4110991296	KatarinaQVO			\Default Work Unit\KatarinaQVO	

Game Parameter	ID	Name			Wwise Object Path	Notes
	3673881719	Volume_SFX			\Default Work Unit\Volume_SFX	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	58458772	ultimate3	C:\Users\Johnrey\Desktop\Katarina\KatarinaWWise\.cache\Windows\SFX\ultimate3_8E324C96.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master Mixer\VO Mixer\VO\KatarinaRVO\ultimate3		27493
	78131671	_004	C:\Users\Johnrey\Desktop\Katarina\KatarinaWWise\.cache\Windows\SFX\SFX\.004_8E324C96.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master Mixer\SFX Mixer\SFX\KatarinaImpactSFX\_004		6885
	79263463	ultimate2	C:\Users\Johnrey\Desktop\Katarina\KatarinaWWise\.cache\Windows\SFX\ultimate2_8E324C96.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master Mixer\VO Mixer\VO\KatarinaRVO\ultimate2		23202
	84367280	_006	C:\Users\Johnrey\Desktop\Katarina\KatarinaWWise\.cache\Windows\SFX\SFX\.006_8E324C96.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master Mixer\SFX Mixer\SFX\KatarinaImpactSFX\_006		6688
	93528572	katarina_base_vo_audio_19	C:\Users\Johnrey\Desktop\Katarina\KatarinaWWise\.cache\Windows\SFX\VO\katarina_base_vo_audio_19_8E324C96.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master Mixer\VO Mixer\VO\KatarinaQVO\katarina_base_vo_audio_19		2718
	111524207	_028	C:\Users\Johnrey\Desktop\Katarina\KatarinaWWise\.cache\Windows\SFX\SFX\.028_8E324C96.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master Mixer\SFX Mixer\SFX\KatarinaVoracitySFX\_028		13137
	116870312	katarina_base_vo_audio_1	C:\Users\Johnrey\Desktop\Katarina\KatarinaWWise\.cache\Windows\SFX\VO\katarina_base_vo_audio_1_8E324C96.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master Mixer\VO Mixer\VO\KatarinaDeath\katarina_base_vo_audio_1		7201
	180534352	katarina_base_vo_audio_26	C:\Users\Johnrey\Desktop\Katarina\KatarinaWWise\.cache\Windows\SFX\VO\katarina_base_vo_audio_26_8E324C96.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master Mixer\VO Mixer\VO\KatarinaDeath\katarina_base_vo_audio_26		5907
	193932422	_010	C:\Users\Johnrey\Desktop\Katarina\KatarinaWWise\.cache\Windows\SFX\SFX\.010_8E324C96.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master Mixer\SFX Mixer\SFX\KatarinaRSFX\_010		53841
	218249995	katarina_base_vo_audio_7	C:\Users\Johnrey\Desktop\Katarina\KatarinaWWise\.cache\Windows\SFX\VO\katarina_base_vo_audio_7_8E324C96.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master Mixer\VO Mixer\VO\KatarinaQVO\katarina_base_vo_audio_7		4721
